0.0001,0.4,0.9387
0.0001,0.44,0.93
0.0001,0.48,0.9249
0.0001,0.52,0.9186
0.0001,0.56,0.9274
0.0001,0.6,0.9326
0.0002,0.4,0.9313
0.0002,0.44,0.9224
0.0002,0.48,0.925
0.0002,0.52,0.9224
0.0002,0.56,0.9287
0.0002,0.6,0.9301
0.0003,0.4,0.9199
0.0003,0.44,0.9211
0.0003,0.48,0.925
0.0003,0.52,0.9275
0.0003,0.56,0.9211
0.0003,0.6,0.9173
0.0002,0.4,0.911
0.0004,0.44,0.916
0.0004,0.48,0.9262
0.0004,0.52,0.9351
0.0004,0.56,0.9288
0.0004,0.6,0.9237
0.0005,0.4,0.9185
0.0005,0.44,0.9236
0.0005,0.44,0.9286
0.0005,0.52,0.9199
0.0005,0.56,0.9173
0.0005,0.6,0.9249
0.0006,0.4,0.9198
0.0006,0.44,0.9173
0.0006,0.48,0.9211
0.0006,0.52,0.9289
0.0006,0.56,0.9241
0.0006,0.6,0.9124
0.0007,0.4,0.9198
0.0007,0.44,0.9313
0.0007,0.52,0.9084
0.0008,0.4,0.9224
0.0008,0.44,0.9005
0.0008,0.48,0.92
0.0008,0.52,0.9199
0.0008,0.56,0.9192
0.0008,0.6,0.9084
0.0009,0.4,0.9118
0.0009,0.44,0.9161
0.0009,0.48,0.9211
0.0009,0.52,0.9237
0.0009,0.56,0.9005
0.0009,0.6,0.9128
0.001,0.48,0.8905
0.001,0.52,0.9056
0.001,0.56,0.9095
0.001,0.6,0.9169
